price,nome,prazo,platform
6247,Odin Sphere Leifthrasir,2022-07-21T06:59:00Z,PS4
9996, Persona®5 Royal,2022-07-21T06:59:00Z,PS4
9996, Persona®5 Royal,2022-07-21T06:59:00Z,PS4
6237,Pillars of Eternity: Complete Edition,2022-07-21T06:59:00Z,PS4
7475,Prey,2022-07-21T06:59:00Z,PS4
19975,Dishonored and Prey: The Arkane Collection,2022-07-21T06:59:00Z,PS4
2087,Rayman® Legends,2022-07-21T06:59:00Z,PS4
2087,Resident Evil 0,2022-07-21T06:59:00Z,PS4
22035,Pacote Completo Resident Evil Village and Resident Evil 7 PS4 and PS5,2022-07-21T06:59:00Z,PS4
2087,Resident Evil,2022-07-21T06:59:00Z,PS4
2087,Resident Evil 0,2022-07-21T06:59:00Z,PS4
22035,Pacote Completo Resident Evil Village and Resident Evil 7 PS4 and PS5,2022-07-21T06:59:00Z,PS4
2087,Resident Evil,2022-07-21T06:59:00Z,PS4
2087,Resident Evil 0,2022-07-21T06:59:00Z,PS4
22035,Pacote Completo Resident Evil Village and Resident Evil 7 PS4 and PS5,2022-07-21T06:59:00Z,PS4
2087,Resident Evil,2022-07-21T06:59:00Z,PS4
2087,Resident Evil 0,2022-07-21T06:59:00Z,PS4
22035,Pacote Completo Resident Evil Village and Resident Evil 7 PS4 and PS5,2022-07-21T06:59:00Z,PS4
2087,Resident Evil,2022-07-21T06:59:00Z,PS4
2087,Resident Evil 0,2022-07-21T06:59:00Z,PS4
22035,Pacote Completo Resident Evil Village and Resident Evil 7 PS4 and PS5,2022-07-21T06:59:00Z,PS4
2087,Resident Evil,2022-07-21T06:59:00Z,PS4
2087,Resident Evil 0,2022-07-21T06:59:00Z,PS4
22035,Pacote Completo Resident Evil Village and Resident Evil 7 PS4 and PS5,2022-07-21T06:59:00Z,PS4
2087,Resident Evil,2022-07-21T06:59:00Z,PS4
2087,Resident Evil 0,2022-07-21T06:59:00Z,PS4
22035,Pacote Completo Resident Evil Village and Resident Evil 7 PS4 and PS5,2022-07-21T06:59:00Z,PS4
2087,Resident Evil,2022-07-21T06:59:00Z,PS4
2087,Resident Evil 0,2022-07-21T06:59:00Z,PS4
22035,Pacote Completo Resident Evil Village and Resident Evil 7 PS4 and PS5,2022-07-21T06:59:00Z,PS4
2087,Resident Evil,2022-07-21T06:59:00Z,PS4
2087,Resident Evil 0,2022-07-21T06:59:00Z,PS4
22035,Pacote Completo Resident Evil Village and Resident Evil 7 PS4 and PS5,2022-07-21T06:59:00Z,PS4
2087,Resident Evil,2022-07-21T06:59:00Z,PS4
2087,Resident Evil 0,2022-07-21T06:59:00Z,PS4
22035,Pacote Completo Resident Evil Village and Resident Evil 7 PS4 and PS5,2022-07-21T06:59:00Z,PS4
2087,Resident Evil,2022-07-21T06:59:00Z,PS4
2087,Resident Evil 0,2022-07-21T06:59:00Z,PS4
22035,Pacote Completo Resident Evil Village and Resident Evil 7 PS4 and PS5,2022-07-21T06:59:00Z,PS4
2087,Resident Evil,2022-07-21T06:59:00Z,PS4
2087,Resident Evil 0,2022-07-21T06:59:00Z,PS4
22035,Pacote Completo Resident Evil Village and Resident Evil 7 PS4 and PS5,2022-07-21T06:59:00Z,PS4
2087,Resident Evil,2022-07-21T06:59:00Z,PS4
2087,Resident Evil 0,2022-07-21T06:59:00Z,PS4
22035,Pacote Completo Resident Evil Village and Resident Evil 7 PS4 and PS5,2022-07-21T06:59:00Z,PS4
2087,Resident Evil,2022-07-21T06:59:00Z,PS4
1495,Ride 2,2022-07-21T06:59:00Z,PS4
19996,Riders Republic™ Ultimate Edition PS4 and PS5,2022-07-21T06:59:00Z,PS5
13596,Riders Republic - Deluxe Edition,2022-07-21T06:59:00Z,PS4/5
2460,Shadow of the Beast,2022-07-21T06:59:00Z,PS4
2460,Shadow of the Beast,2022-07-21T06:59:00Z,PS4
7497,Sniper Ghost Warrior Contracts and SGW3 Unlimited Edition,2022-07-21T06:59:00Z,PS4
3949,STAR WARS™  Battlefront™ Ultimate Edition,2022-07-21T06:59:00Z,PS4
3949,STAR WARS™  Battlefront™ Ultimate Edition,2022-07-21T06:59:00Z,PS4
3949,STAR WARS™  Battlefront™ Ultimate Edition,2022-07-21T06:59:00Z,PS4
3949,STAR WARS™  Battlefront™ Ultimate Edition,2022-07-21T06:59:00Z,PS4
3949,STAR WARS™  Battlefront™ Ultimate Edition,2022-07-21T06:59:00Z,PS4
8967,STAR WARS Jedi: Fallen Order™ Edição Deluxe,2022-07-21T06:59:00Z,PS4
2999,Super Bomberman R,2022-07-21T06:59:00Z,PS4
2498,Surviving Mars,2022-07-14T06:59:00Z,PS4
