price,nome,prazo,platform
10465,A Patrulha Canina 'tá com tudo!,2022-07-07T06:59:00Z,PS4
7497,Pillars of Eternity II: Deadfire - Ultimate Edition,2022-07-07T06:59:00Z,PS4
3990,Monster Energy Supercross - The Official Videogame 4,2022-07-07T06:59:00Z,PS5
11196,Riders Republic™ PS4 and PS5,2022-07-07T06:59:00Z,PS4/5
16500,Riders Republic™ Gold Edition PS4 and PS5,2022-07-07T06:59:00Z,PS5
2145,ACA NEOGEO SAMURAI SHODOWN IV,2022-07-07T06:59:00Z,PS4
10747,SAMURAI SHODOWN Edição Deluxe,2022-07-07T06:59:00Z,PS4/5
2145,ACA NEOGEO SAMURAI SHODOWN IV,2022-07-07T06:59:00Z,PS4
10747,SAMURAI SHODOWN Edição Deluxe,2022-07-07T06:59:00Z,PS4/5
13995,SCARLET NEXUS PS4 and PS5,2022-07-07T06:59:00Z,PS4/5
6583,Shadow of the Tomb Raider Definitive Edition,2022-07-07T06:59:00Z,PS4
4975,SHADOW OF THE COLOSSUS,2022-07-07T06:59:00Z,PS4
6583,Shadow of the Tomb Raider Definitive Edition,2022-07-07T06:59:00Z,PS4
4975,SHADOW OF THE COLOSSUS,2022-07-07T06:59:00Z,PS4
3298,Sniper Ghost Warrior 3 Season Pass Edition ,2022-07-07T06:59:00Z,PS4/5
7947,Sniper Ghost Warrior Contracts Full Arsenal Edition,2022-07-07T06:59:00Z,PS4
6296,Spyro™ Reignited Trilogy,2022-07-07T06:59:00Z,PS4
1660,STAR WARS™ Jedi Knight II - Jedi Outcast™,2022-07-07T06:59:00Z,PS4
7475,Team Sonic Racing,2022-07-07T06:59:00Z,PS4
5998,The Crew® 2 Gold Edition,2022-07-07T06:59:00Z,PS4/5
5998,The Crew® 2 Gold Edition,2022-07-07T06:59:00Z,PS4/5
20093,The Dark Pictures Anthology - Pacote Triplo PS4 and PS5,2022-07-07T06:59:00Z,PS5
20093,The Dark Pictures Anthology - Pacote Triplo PS4 and PS5,2022-07-07T06:59:00Z,PS5
4196,THE FOREST,2022-07-07T06:59:00Z,PS4
2145,ACA NEOGEO THE KING OF FIGHTERS '98,2022-07-07T06:59:00Z,PS4
2145,ACA NEOGEO THE KING OF FIGHTERS '98,2022-07-07T06:59:00Z,PS4
2145,ACA NEOGEO THE KING OF FIGHTERS '98,2022-07-07T06:59:00Z,PS4
2145,ACA NEOGEO THE KING OF FIGHTERS '98,2022-07-07T06:59:00Z,PS4
2145,ACA NEOGEO THE KING OF FIGHTERS '98,2022-07-07T06:59:00Z,PS4
2145,ACA NEOGEO THE KING OF FIGHTERS '98,2022-07-07T06:59:00Z,PS4
2145,ACA NEOGEO THE KING OF FIGHTERS '98,2022-07-07T06:59:00Z,PS4
17842,The Medium - Edição Deluxe,2022-07-07T06:59:00Z,PS4/5
6447,The Surge 1 and 2 - Dual Pack,2022-07-07T06:59:00Z,PS4
4158,The Witcher 3: Wild Hunt – Complete Edition,2022-07-07T06:59:00Z,PS4
6583,Shadow of the Tomb Raider Definitive Edition,2022-07-07T06:59:00Z,PS4
11225,Tropico 6 El Prez Edition,2022-07-07T06:59:00Z,PS4
3657,Watch Dogs™,2022-07-07T06:59:00Z,PS4
6247,Watch Dogs 1 + Watch Dogs 2 Standard Editions Bundle ,2022-07-07T06:59:00Z,PS4
6247,Watch Dogs 1 + Watch Dogs 2 Standard Editions Bundle ,2022-07-07T06:59:00Z,PS4
